Name,Gender,AllPpl,C1,C2,C3,C4,C5,C6 ,C7,C8
East Livingston and East Calder,All,15283,1073,2738,2493,923,1370,2579,2389,677
East Livingston and East Calder,Males,7475,660,1195,684,617,979,1042,1461,336
East Livingston and East Calder,Females,7808,413,1543,1809,306,391,1537,928,341
"East Mainland, South Ronaldsay and Burray",All,2455,155,501,248,491,196,436,281,33
"East Mainland, South Ronaldsay and Burray",Males,1234,87,210,51,325,137,167,203,11
"East Mainland, South Ronaldsay and Burray",Females,1221,68,291,197,166,59,269,78,22
East Neuk and Landward,All,9240,973,2005,922,1409,822,1344,935,258
East Neuk and Landward,Males,4574,634,860,198,967,576,426,518,133
East Neuk and Landward,Females,4666,339,1145,724,442,246,918,417,125
East Sutherland and Edderton,All,5514,330,1071,567,791,623,937,735,198
East Sutherland and Edderton,Males,2704,225,440,116,542,420,306,442,98
East Sutherland and Edderton,Females,2810,105,631,451,249,203,631,293,100
Eilean a' Chèo,All,7644,505,1720,710,1408,617,1193,951,219
Eilean a' Chèo,Males,3793,321,732,197,942,427,362,556,107
Eilean a' Chèo,Females,3851,184,988,513,466,190,831,395,112
Elgin City North,All,8541,470,1796,1010,476,867,1677,1442,360
Elgin City North,Males,4110,318,903,298,303,615,554,793,158
Elgin City North,Females,4431,152,893,712,173,252,1123,649,202
Elgin City South,All,8326,490,1670,999,542,944,1620,1293,270
Elgin City South,Males,4042,327,775,287,341,694,557,755,107
Elgin City South,Females,4284,163,895,712,201,250,1063,538,163
Ellon and District,All,10998,1301,2769,1509,879,1072,1531,1045,197
Ellon and District,Males,5452,931,1270,327,553,839,489,659,79
Ellon and District,Females,5546,370,1499,1182,326,233,1042,386,118
Erskine and Inchinnan,All,12964,1015,2977,2360,716,1213,1975,1264,343
Erskine and Inchinnan,Males,6262,659,1315,598,523,919,757,799,181
Erskine and Inchinnan,Females,6702,356,1662,1762,193,294,1218,465,162
Fa'side,All,13438,963,2777,1994,1180,1135,2335,1828,502
Fa'side,Males,6581,622,1167,475,862,846,826,1202,246
Fa'side,Females,6857,341,1610,1519,318,289,1509,626,256
Falkirk North,All,14830,929,2805,1998,917,1411,2558,2439,911
Falkirk North,Males,7387,594,1289,586,654,1074,934,1414,450
Falkirk North,Females,7443,335,1516,1412,263,337,1624,1025,461
Falkirk South,All,13949,1011,2620,1870,874,1386,2363,2247,798
Falkirk South,Males,6853,667,1138,500,620,1050,810,1296,406
Falkirk South,Females,7096,344,1482,1370,254,336,1553,951,392
Fauldhouse and the Breich Valley,All,12186,653,1824,1555,906,1203,2275,2413,739
Fauldhouse and the Breich Valley,Males,6166,399,771,395,682,879,876,1485,427
Fauldhouse and the Breich Valley,Females,6020,254,1053,1160,224,324,1399,928,312
Fochabers Lhanbryde,All,7634,508,1689,915,794,807,1323,1003,218
Fochabers Lhanbryde,Males,3783,341,732,235,508,611,494,614,90
